Player,Matches,Runs,Avg,SR,HS,Hundreds,Fifties
ODI_Player_1,75,7918,55.93,83.91,93,12,21
ODI_Player_2,42,9295,34.19,142.92,128,22,64
ODI_Player_3,191,7956,35.99,79.2,190,32,74
ODI_Player_4,117,7587,58.6,126.64,255,12,75
ODI_Player_5,28,12843,52.8,130.14,284,41,31
ODI_Player_6,163,1046,25.47,128.86,186,45,74
ODI_Player_7,135,7806,41.22,69.4,72,48,27
ODI_Player_8,52,8918,25.05,124.28,120,28,44
ODI_Player_9,98,13984,33.63,110.78,212,17,68
ODI_Player_10,195,7831,59.87,99.78,275,28,75
ODI_Player_11,187,11560,56.19,61.39,84,19,67
ODI_Player_12,128,1950,54.69,67.65,93,13,20
ODI_Player_13,129,8766,29.79,126.94,102,18,0
ODI_Player_14,29,6205,29.76,73.5,296,0,60
ODI_Player_15,184,10746,50.72,88.04,212,43,43
ODI_Player_16,64,11553,53.59,81.65,215,44,5
ODI_Player_17,52,2123,41.43,142.95,141,6,25
ODI_Player_18,184,14870,23.06,75.59,154,12,52
ODI_Player_19,162,4172,23.49,117.18,284,18,59
ODI_Player_20,130,7069,21.55,120.47,110,13,21
ODI_Player_21,79,11993,54.17,85.06,107,13,24
ODI_Player_22,56,7704,59.01,82.06,118,12,14
ODI_Player_23,89,12909,22.99,140.01,293,11,40
ODI_Player_24,147,3638,52.61,132.2,72,45,50
ODI_Player_25,173,1113,21.52,131.29,85,48,39
ODI_Player_26,167,4651,59.61,90.33,201,7,75
ODI_Player_27,76,2731,57.82,145.88,171,40,60
ODI_Player_28,172,13686,40.35,81.12,210,17,43
ODI_Player_29,26,9434,42.94,136.93,185,36,45
ODI_Player_30,170,8733,50.67,123.97,161,29,74
ODI_Player_31,84,6632,54.86,107.71,233,34,62
ODI_Player_32,169,2085,40.35,128.3,142,33,79
ODI_Player_33,107,12521,30.86,107.68,67,21,55
ODI_Player_34,117,8884,48.28,91.55,111,21,51
ODI_Player_35,59,3797,26.34,69.15,97,26,13
ODI_Player_36,176,11202,28.84,109.6,230,46,43
ODI_Player_37,123,1872,22.37,96.83,175,20,9
ODI_Player_38,69,5634,29.58,86.14,267,40,12
ODI_Player_39,21,6122,55.8,94.7,225,17,4
ODI_Player_40,129,1340,21.68,98.59,149,5,61
ODI_Player_41,104,13296,20.28,96.3,272,1,17
ODI_Player_42,159,12168,30.17,138.82,151,41,25
ODI_Player_43,96,7766,57.7,138.18,83,31,52
ODI_Player_44,55,10104,47.63,74.3,93,14,26
ODI_Player_45,105,13013,32.23,67.55,148,8,37
ODI_Player_46,177,10079,46.24,128.7,196,16,2
ODI_Player_47,191,3534,25.88,61.25,166,7,57
ODI_Player_48,96,7895,59.13,140.03,294,10,25
ODI_Player_49,23,11245,32.58,145.29,97,38,38
ODI_Player_50,177,880,36.68,145.46,91,34,19
ODI_Player_51,112,8303,34.82,60.43,210,22,36
ODI_Player_52,145,13694,45.22,126.21,272,50,54
ODI_Player_53,161,654,38.45,105.4,242,33,79
ODI_Player_54,156,12929,25.58,72.02,276,43,32
ODI_Player_55,155,12219,46.17,141.65,242,27,49
ODI_Player_56,56,562,25.5,95.14,232,28,72
ODI_Player_57,185,6696,56.57,93.84,141,22,5
ODI_Player_58,137,14263,47.98,130.05,69,36,27
ODI_Player_59,125,8986,29.82,60.56,103,25,77
ODI_Player_60,64,3720,43.21,100.43,86,48,75
ODI_Player_61,114,2751,28.91,123.97,297,6,7
ODI_Player_62,133,12075,26.88,98.15,242,6,45
ODI_Player_63,146,10485,49.44,126.23,236,18,4
ODI_Player_64,195,3097,51.98,138.31,238,3,75
ODI_Player_65,38,2996,31.59,72.42,247,7,77
ODI_Player_66,175,13549,49.43,67.48,66,20,31
ODI_Player_67,84,7549,55.32,96.64,170,50,22
ODI_Player_68,178,12102,20.61,147.14,155,9,55
ODI_Player_69,194,11530,25.9,80.78,255,9,16
ODI_Player_70,148,11400,35.42,122.89,184,9,5
ODI_Player_71,87,5651,48.39,122.2,182,34,48
ODI_Player_72,80,11425,50.78,125.03,60,12,80
ODI_Player_73,83,5675,25.11,105.46,278,6,52
ODI_Player_74,182,9815,20.02,125.09,93,43,3
ODI_Player_75,104,727,28.06,67.36,233,31,15
ODI_Player_76,130,1711,45.87,100.87,181,26,25
ODI_Player_77,98,11284,54.39,102.0,223,6,64
ODI_Player_78,63,13075,33.59,140.61,85,21,78
ODI_Player_79,118,2985,28.68,127.74,161,1,50
ODI_Player_80,117,10569,38.19,130.42,54,30,78
ODI_Player_81,154,5085,47.35,104.34,66,15,12
ODI_Player_82,52,6697,30.02,130.1,74,14,54
ODI_Player_83,195,3023,57.83,125.47,184,11,27
ODI_Player_84,35,10852,43.34,117.13,184,30,65
ODI_Player_85,182,6374,25.88,143.94,58,46,3
ODI_Player_86,95,2646,56.79,92.16,175,41,69
ODI_Player_87,116,1266,53.69,113.89,111,26,50
ODI_Player_88,121,1943,58.98,88.23,291,28,24
ODI_Player_89,162,3917,38.28,127.63,162,26,61
ODI_Player_90,43,9861,34.58,114.98,215,16,37
ODI_Player_91,124,5363,58.09,92.47,94,11,7
ODI_Player_92,36,3847,59.95,139.05,215,9,12
ODI_Player_93,89,5325,23.79,142.31,265,21,21
ODI_Player_94,169,4502,40.65,127.15,265,17,10
ODI_Player_95,194,11013,42.02,120.33,69,22,45
ODI_Player_96,48,8778,22.53,65.55,153,41,71
ODI_Player_97,130,13446,49.25,105.51,141,7,18
ODI_Player_98,73,4606,27.55,144.46,225,40,15
